"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","boundaries","match_result"
"729294","166","6","5","21","10.5000","0","3","8","88.8889","1","Lost"
"729300","193","74","1","22","11.0000","0","3","3","75.0000","0","Won"
"729302","140","24","1","11","3.6667","1","0","1","100.0000","0","Won"
"729304","150","9","6","24","8.0000","1","2","1","100.0000","0","Won"
"729306","184","20","6","26","8.6667","0","4","17","170.0000","2","Won"
"729316","145","6","5","21","7.0000","0","2","8","66.6667","0","Lost"
"729320","152","12","3","17","5.6667","1","3","20","153.8462","2","Lost"
"729322","172","20","4","9","9.0000","1","1","78","165.9574","9","Won"
"733978","168","5","5","24","8.0000","2","4","22","200.0000","3","Lost"
"733982","155","4","5","19","9.5000","0","2","5","71.4286","0","Lost"
"733984","170","17","4","16","5.3333","3","3","6","50.0000","0","Won"
"733986","178","11","8","34","11.3333","0","5","46","176.9231","7","Lost"
"733988","187","27","2","30","10.0000","1","4","2","66.6667","0","Won"
"733992","231","64","4","5","5.0000","1","0","1","100.0000","0","Won"
"733994","134","35","1","6","6.0000","1","0","2","66.6667","0","Won"
"733996","198","50","2","27","13.5000","1","4","25","119.0476","3","Won"
"734000","157","11","4","29","14.5000","1","5","10","111.1111","0","Lost"
"734008","148","12","5","25","8.3333","1","2","10","200.0000","1","Lost"
"734010","186","26","4","17","5.6667","2","2","30","187.5000","4","Won"
"734016","201","76","1","13","4.3333","1","1","50","128.2051","6","Won"
"734018","138","10","6","25","12.5000","1","3","4","66.6667","0","Lost"
"734020","142","10","7","24","8.0000","0","4","38","140.7407","4","Lost"
"734022","178","34","2","15","7.5000","0","1","29","152.6316","3","Won"
"734024","164","9","4","34","11.3333","0","6","41","120.5882","6","Lost"
"734026","160","4","7","29","9.6667","0","4","7","350.0000","1","Lost"
"734032","195","41","5","36","12.0000","0","5","3","100.0000","0","Won"
"734034","185","2","7","37","12.3333","0","4","0","0.0000","0","Lost"
"734036","173","25","6","29","9.6667","0","4","42","168.0000","4","Won"
"734038","179","31","2","43","14.3333","0","6","22","275.0000","3","Won"
"734048","163","30","3","13","4.3333","2","1","26","162.5000","3","Won"
"734052","226","40","3","45","15.0000","2","9","0","0.0000","0","Won"
"734054","199","5","3","38","12.6667","0","4","1","50.0000","0","Lost"
"829712","150","19","2","19","6.3333","1","1","56","112.0000","6","Won"
"829720","184","12","3","29","9.6667","1","4","7","233.3333","1","Lost"
"829722","177","30","4","30","10.0000","1","4","33","173.6842","6","Won"
"829728","165","6","7","26","8.6667","1","1","76","138.1818","8","Lost"
"829730","165","3","6","24","8.0000","1","2","2","66.6667","0","Lost"
"829732","127","5","6","23","7.6667","0","2","1","100.0000","0","Lost"
"829736","167","10","4","21","7.0000","0","2","15","250.0000","2","Won"
"829746","191","14","4","30","10.0000","0","4","8","200.0000","1","Lost"
"829750","181","35","3","22","11.0000","0","3","7","175.0000","1","Won"
"829752","190","43","2","10","10.0000","1","2","1","16.6667","0","Won"
"829756","157","30","2","23","7.6667","0","2","0","0.0000","0","Won"
"829758","192","99","2","9","4.5000","0","1","10","52.6316","0","Won"
"829764","150","25","2","30","10.0000","0","4","1","50.0000","0","Won"
"829766","171","29","4","15","5.0000","0","2","15","136.3636","2","Won"
"829770","134","17","1","9","4.5000","3","0","24","109.0909","2","Won"
"829774","187","20","4","28","9.3333","1","5","4","133.3333","0","Won"
"829778","192","29","4","28","9.3333","0","3","12","133.3333","0","Won"
"829782","189","30","3","19","6.3333","0","2","17","170.0000","2","Won"
"829784","148","25","2","18","6.0000","1","2","17","130.7692","2","Won"
"829786","167","37","2","9","9.0000","0","2","12","100.0000","1","Won"
"829788","152","8","5","19","9.5000","0","2","48","123.0769","5","Lost"
"829792","201","18","3","34","11.3333","3","7","1","100.0000","0","Won"
"829794","158","5","6","11","5.5000","1","0","20","285.7143","3","Lost"
"829796","183","8","3","50","16.6667","1","9","4","100.0000","0","Lost"
"829798","163","16","6","30","10.0000","0","6","20","90.9091","2","Won"
"829800","235","54","4","37","12.3333","1","4","2","100.0000","0","Won"
"829802","157","27","2","29","9.6667","1","3","4","80.0000","0","Won"
"829804","185","28","3","28","9.3333","0","4","67","176.3158","7","Won"
"829816","199","16","2","18","6.0000","3","2","13","130.0000","2","Won"
"829826","139","5","4","21","7.0000","0","2","22","88.0000","1","Lost"
"829828","202","63","2","18","6.0000","1","3","10","142.8571","1","Won"
"980912","227","55","4","21","7.0000","2","2","19","158.3333","3","Won"
"980922","143","11","3","18","6.0000","2","1","58","116.0000","7","Lost"
"980936","185","21","3","6","3.0000","2","1","17","212.5000","2","Won"
"980942","180","7","7","23","7.6667","0","3","11","137.5000","1","Lost"
"980944","160","7","3","20","6.6667","1","3","6","200.0000","1","Lost"
"980946","189","39","3","14","4.6667","3","0","17","170.0000","2","Won"
"980950","172","14","5","28","9.3333","1","4","71","262.9630","11","Won"
"980954","195","9","5","32","10.6667","1","5","1","100.0000","0","Lost"
"980958","194","22","5","30","10.0000","0","4","5","125.0000","0","Won"
"980960","154","30","2","25","8.3333","0","4","32","128.0000","3","Won"
"980968","164","12","4","21","7.0000","3","2","20","333.3333","3","Won"
"980970","162","3","7","44","14.6667","0","6","13","325.0000","2","Lost"
"980974","191","4","7","19","6.3333","0","1","5","71.4286","0","Lost"
"980976","181","25","5","23","7.6667","1","2","6","85.7143","0","Won"
"980982","175","17","6","37","12.3333","0","6","8","133.3333","1","Won"
"980984","137","14","5","20","6.6667","2","4","16","145.4545","1","Won"
"980996","179","9","7","32","10.6667","0","4","35","166.6667","5","Lost"
"980998","206","81","1","15","7.5000","2","2","2","66.6667","0","Won"
"981008","158","11","6","24","8.0000","0","3","1","100.0000","0","Lost"
"981010","172","23","4","20","6.6667","1","1","42","161.5385","5","Lost"
"981014","171","28","3","17","8.5000","0","2","5","166.6667","1","Won"
"981020","162","25","4","18","6.0000","1","1","6","120.0000","1","Won"
"981022","162","5","4","28","9.3333","0","4","88","157.1429","13","Lost"
"981024","208","18","4","20","6.6667","0","3","2","66.6667","0","Won"
"1082591","207","43","1","28","9.3333","0","4","2","40.0000","0","Won"
"1082592","184","13","7","15","15.0000","0","2","10","100.0000","1","Lost"
"1082597","178","11","4","38","12.6667","0","6","19","316.6667","3","Lost"
"1082604","172","30","4","21","7.0000","1","4","10","111.1111","1","Won"
"1082605","188","55","3","20","6.6667","1","1","1","100.0000","0","Won"
"1082606","176","8","6","17","8.5000","1","1","32","123.0769","3","Lost"
"1082607","161","31","2","17","5.6667","2","2","5","125.0000","0","Won"
"1082608","168","9","5","17","8.5000","0","2","3","100.0000","0","Lost"
"1082609","159","11","1","21","7.0000","0","1","2","200.0000","0","Won"
"1082610","213","26","4","41","13.6667","0","6","2","100.0000","0","Won"
"1082611","191","24","6","24","8.0000","0","3","48","165.5172","7","Won"
"1082614","142","25","3","15","7.5000","1","1","3","150.0000","0","Won"
"1082615","176","11","6","32","16.0000","0","5","11","220.0000","2","Lost"
"1082616","188","36","3","31","10.3333","2","6","3","50.0000","0","Won"
"1082618","160","17","5","28","9.3333","0","4","13","130.0000","2","Won"
"1082623","207","33","3","36","12.0000","1","7","2","100.0000","0","Won"
"1082624","157","70","1","17","5.6667","1","1","3","100.0000","0","Won"
"1082625","153","11","2","16","16.0000","0","3","19","118.7500","2","Lost"
"1082628","162","7","4","19","6.3333","1","2","50","147.0588","6","Lost"
"1082629","161","8","5","18","9.0000","1","2","98","163.3333","12","Lost"
"1082634","148","13","4","30","10.0000","2","4","8","160.0000","0","Won"
"1082637","189","8","6","23","11.5000","1","3","28","140.0000","2","Lost"
"1082639","167","20","4","26","8.6667","0","4","7","175.0000","1","Won"
"1082640","195","9","3","35","11.6667","1","5","96","174.5455","17","Lost"
"1082641","230","16","4","49","16.3333","2","9","42","233.3333","5","Won"
"1082642","168","25","4","18","6.0000","1","2","48","123.0769","6","Won"
"1082644","173","14","2","18","6.0000","2","1","3","100.0000","0","Won"
"1082646","161","13","2","8","8.0000","1","1","1","50.0000","0","Won"
"1082647","162","30","2","28","9.3333","3","4","14","155.5556","1","Won"
"1082650","129","11","7","22","7.3333","1","2","3","50.0000","0","Won"
