"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","batsman_boundaries","non_striker_runs","non_striker_sr","non_striker_boundaries","bowler_eg_games","bowler_eg_runs","bowler_eg_economy","bowler_eg_wickets","batsman_eg_games","batsman_eg_runs","batsman_eg_sr","non_striker_eg_games","non_striker_eg_runs","non_striker_eg_sr","bowler_lt_games","bowler_lt_runs","bowler_lt_economy","bowler_lt_wickets","batsman_lt_games","batsman_lt_runs","batsman_lt_sr","non_striker_lt_games","non_striker_lt_runs","non_striker_lt_sr","match_result"
"829786","167","37","2","9","9.0000","0","2","12","100.0000","1","11","366.6667","2","42","548","10.8158","28","51","294","113.5135","42","180","96.2567","68","1743","9.1177","67","57","340","108.9744","42","183","94.3299","Won"
"829716","209","60","4","22","7.3333","2","3",NULL,NULL,NULL,"14","100.0000","0","62","883","10.2278","46","4","17","85.0000","25","373","168.7783","86","2488","8.5108","100","4","17","85.0000","52","1619","135.2548","Won"
"419129","183","32","1","22","7.3333","2","3",NULL,NULL,NULL,"0","0.0000","0","18","216","8.6400","15","4","5","100.0000","12","34","61.8182","21","668","8.4736","26","4","5","100.0000","12","34","61.8182","Won"
"419151","154","3","6","31","10.3333","0","6","9","225.0000","1","4","200.0000","1","79","946","9.3509","46","56","663","150.3401","1","4","200.0000","99","2860","7.8000","119","82","1150","121.4361","1","4","200.0000","Lost"
"501254","196","64","2",NULL,NULL,NULL,NULL,"1","100.0000","0",NULL,NULL,NULL,"21","192","8.9302","8","4","2","28.5714","14","42","73.6842","69","1139","7.5264","30","5","2","22.2222","14","42","72.4138","Won"
"501225","195","56","4","13","6.5000","1","1","25","125.0000","3","8","114.2857","1","9","98","9.3333","2","13","120","116.5049","12","96","131.5068","15","408","8.2703","13","16","194","116.1677","17","170","127.8195","Won"
"392223","157","33","3","21","7.0000","1","1","34","121.4286","1","6","120.0000","1","114","1526","8.1970","122","16","235","162.0690","14","34","80.9524","122","3481","7.3880","188","23","394","128.3388","15","35","74.4681","Won"
"392193","184","29","3","13","4.3333","1","2","49","168.9655","7","12","300.0000","2","64","831","9.4611","55","72","1265","192.5419","51","294","113.5135","82","2411","8.1499","100","184","5873","131.0645","57","340","108.9744","Won"
"392244","143","15","1","13","4.3333","1","1",NULL,NULL,NULL,"14","140.0000","1","64","831","9.4611","55","14","34","80.9524","37","536","173.4628","82","2411","8.1499","100","15","35","74.4681","182","4607","130.5839","Won"
"734024","164","9","4","34","11.3333","0","6","41","120.5882","6","0","0.0000","0","23","289","8.4175","19","53","507","148.2456","14","120","120.0000","26","731","7.6678","31","71","913","128.2303","16","153","113.3333","Lost"
